category,strategy,owner,priority,execution_status,wave,effort,expected_sharpe_uplift,sharpe,cagr,max_drawdown,crisis_non_negative_count,improvement_ideas
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,peter,high_priority_rework,implemented,done,medium_high,>=0.15,0.05,0.0009,-0.2305,2,
Cat H-FI: Fixed Income,H1-YieldCurveTrade,macro,high_priority_rework,implemented,done,medium_high,>=0.15,0.14,0.0098,-0.3473,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat C: War/Geopolitical,C2-SafeHavenFlight,crisis,high_priority_rework,implemented,done,medium_high,>=0.15,0.15,0.0092,-0.3123,3,
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,systematic,high_priority_rework,implemented_kill,done,medium_high,>=0.15,0.15,0.0096,-0.3196,2,
Cat M: Macro,M3-EMRiskPremium,macro,high_priority_rework,implemented,done,medium_high,>=0.15,0.16,0.0116,-0.2989,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,peter,high_priority_rework,implemented,done,medium_high,>=0.15,0.2,0.0167,-0.3969,3,
Cat B: Oil Crisis,B1-OilMomentumSurge,crisis,high_priority_rework,implemented,done,medium_high,>=0.15,0.25,0.0269,-0.3338,4,
Cat P: ML Signal Combo,P3-GMMRegimeClassifier,vol,high_priority_rework,implemented,done,medium_high,>=0.15,0.26,0.0287,-0.3817,3,Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat L: Volatility,L7-ImpliedRealizedSpread,vol,kill_or_full_rework,implemented_monitor,done,medium_high,>=0.25_or_kill,-0.17,-0.0135,-0.3212,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,vol,optimize_winner,implemented,done,low_medium,>=0.05,0.79,0.1265,-0.363,4,
