category,strategy,priority,sharpe,cagr,max_drawdown,crisis_non_negative_count,source_file,how_it_works,drivers_ranked,indicators,signal_families,pair_universe,research_refs,improvement_ideas
Cat L: Volatility,L7-ImpliedRealizedSpread,kill_or_full_rework,-0.17,-0.0135,-0.3212,2,src/financial_algo/strategies/volatility_strats.py,"Uses trend, mean_reversion, carry, volatility, pairs_statarb with sma, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4,sma | zscore | volatility | momentum | regime,trend | mean_reversion | carry | volatility | pairs_statarb,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat I: Momentum,I10-AdaptiveTrendFilter,kill_or_full_rework,-0.14,-0.0146,-0.3121,0,src/financial_algo/strategies/momentum.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat I: Momentum,I7-DriftRegimeMomentum,kill_or_full_rework,-0.06,-0.0038,-0.1548,4,src/financial_algo/strategies/momentum.py,"Uses trend, mean_reversion, carry with sma, rsi, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.7 | reversion_driver:1.5 | carry_driver:1.0 | macro_driver:0.6,sma | rsi | momentum | regime,trend | mean_reversion | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat O: Tail Risk,O9-ATRCrisisAlpha,kill_or_full_rework,-0.03,-0.0041,-0.2499,2,src/financial_algo/strategies/tail_risk.py,"Uses trend, carry, volatility, macro_regime with sma, ema, atr, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | macro_driver:1.4 | carry_driver:1.0,sma | ema | atr | volatility | momentum | regime,trend | carry | volatility | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat O: Tail Risk,O8-VolatilityConvexity,high_priority_rework,0.0,0.0,0.0,6,src/financial_algo/strategies/tail_risk.py,"Uses trend, carry, volatility, macro_regime with ema, volatility, regime. Primary tradable universe proxy: broad ETF universe.",macro_driver:1.6 | vol_driver:1.5 | trend_driver:1.2 | carry_driver:1.0,ema | volatility | regime,trend | carry | volatility | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K6-QualityMomentumComposite,high_priority_rework,0.02,-0.0029,-0.2453,2,src/financial_algo/strategies/factor.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,high_priority_rework,0.05,0.0009,-0.2305,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat R: Regime Hardening,R10-CommodityMacroOverlay,high_priority_rework,0.09,0.0024,-0.1549,6,src/financial_algo/strategies/regime_hardening.py,"Uses trend, mean_reversion, carry, macro_regime with sma, rsi, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.7 | macro_driver:1.6 | reversion_driver:1.5 | carry_driver:1.0,sma | rsi | momentum | regime,trend | mean_reversion | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat H-FI: Fixed Income,H1-YieldCurveTrade,high_priority_rework,0.14,0.0098,-0.3473,2,src/financial_algo/strategies/fixed_income.py,"Uses trend, carry with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | carry_driver:1.0 | macro_driver:0.4,sma | momentum | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat C: War/Geopolitical,C2-SafeHavenFlight,high_priority_rework,0.15,0.0092,-0.3123,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
